Name,PID,CommandLine
taskhostw.exe,4584,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
explorer.exe,6608,C:\WINDOWS\Explorer.EXE
ShellHost.exe,6640,"""C:\Windows\System32\ShellHost.exe"""
svchost.exe,6956,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo
CrossDeviceResume.exe,7032,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp"
msedge.exe,7180,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --continue-active-setup"
msedge.exe,7820,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\mmilne\AppData\Local\Microsoft\Edge\User Data"" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\mmilne\AppData\Local\Microsoft\Edge\User Data\Crashpad"" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=151.0.7922.138 ""--annotation=exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --annotation=plat=Win64 --annotation=prod=Edge --annotation=ver=151.0.4129.93 --initial-client-data=0x274,0x278,0x27c,0x270,0x2c8,0x7ff9139665f0,0x7ff913966600,0x7ff913966610"
msedge.exe,1120,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --startup-read-main-dll --metrics-shmem-handle=1948,i,7970205472068600478,15476529951509965837,524288 --field-trial-handle=2708,i,3313959534577007606,10843564659338778431,262144 --variations-seed-version --pseudonymization-salt-handle=2716,i,173775317478468872,9161170040350648233,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=3780 /prefetch:11"
msedge.exe,7828,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=gpu-process --gpu-preferences=WAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAAEAAAAAIAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --startup-read-main-dll --metrics-shmem-handle=1692,i,12643303823687196266,8865272697033691326,262144 --field-trial-handle=2708,i,3313959534577007606,10843564659338778431,262144 --variations-seed-version --pseudonymization-salt-handle=2716,i,173775317478468872,9161170040350648233,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2704 /prefetch:2"
msedge.exe,8196,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --startup-read-main-dll --metrics-shmem-handle=2248,i,4461362195296720777,1139322324464889245,524288 --field-trial-handle=2708,i,3313959534577007606,10843564659338778431,262144 --variations-seed-version --pseudonymization-salt-handle=2716,i,173775317478468872,9161170040350648233,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=3860 /prefetch:13"
svchost.exe,8868,C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
StartMenuExperienceHost.exe,9304,"""C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca"
SearchHost.exe,9380,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
RuntimeBroker.exe,9572,C:\Windows\System32\RuntimeBroker.exe -Embedding
svchost.exe,9672,C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc
msedgewebview2.exe,10212,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --user-data-dir=""C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version )"" --lang=en-US --mojo-named-platform-channel-pipe=9380.10184.17445707204833713556 /pfhostedapp:0c8901c7c930da66e5cdce967b2d868584956d8a"
msedgewebview2.exe,7716,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 /pfhostedapp:0c8901c7c930da66e5cdce967b2d868584956d8a --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=151.0.7922.138 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=151.0.4129.93 --initial-client-data=0x170,0x174,0x178,0x16c,0x180,0x7ff9139665f0,0x7ff913966600,0x7ff913966610"
msedgewebview2.exe,10336,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version )"" --user-data-dir=""C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=1892,i,16245975216825460042,6727545249450964489,524288 --field-trial-handle=2064,i,6845175548239027642,5965147656615701612,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2068,i,2242894808674249232,3645520204023480131,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2252 /prefetch:11 /pfhostedapp:0c8901c7c930da66e5cdce967b2d868584956d8a"
msedgewebview2.exe,10344,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version )"" --user-data-dir=""C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --gpu-preferences=WAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAAEAAAAAIAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --startup-read-main-dll --metrics-shmem-handle=1732,i,3687396880989026066,10377798766323891617,262144 --field-trial-handle=2064,i,6845175548239027642,5965147656615701612,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2068,i,2242894808674249232,3645520204023480131,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2060 /prefetch:2 /pfhostedapp:0c8901c7c930da66e5cdce967b2d868584956d8a"
msedgewebview2.exe,10520,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.93\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version )"" --user-data-dir=""C:\Users\mmilne\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=2448,i,8586097108500987236,11208381597023840190,524288 --field-trial-handle=2064,i,6845175548239027642,5965147656615701612,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2068,i,2242894808674249232,3645520204023480131,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2608 /prefetch:13 /pfhostedapp:0c8901c7c930da66e5cdce967b2d868584956d8a"
