EventType,TimeCreated,ProcessGuid,PID,Image,ParentPID,ParentImage,CommandLine,Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,DestinationHostname,Initiated,QueryName,QueryStatus,QueryResults,InInitialCapture,InSessionBaseline,BaselineProcessName
ProcessTerminate,2026-08-28T16:27:51.3827946Z,{0174764e-b707-6a91-6c45-000000000e00},7332,C:\Windows\System32\backgroundTaskHost.exe,,,,,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:51.3451585Z,{0174764e-b707-6a91-6d45-000000000e00},5244,C:\Windows\System32\RuntimeBroker.exe,984,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,,,,,,,,,,,Yes,No,
ProcessCreate,2026-08-28T16:27:51.2942540Z,{0174764e-b707-6a91-6c45-000000000e00},7332,C:\Windows\System32\backgroundTaskHost.exe,984,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:51.1879724Z,{0174764e-b707-6a91-6b45-000000000e00},9632,C:\Windows\System32\taskhostw.exe,1492,C:\Windows\System32\svchost.exe,taskhostw.exe,,,,,,,,,,,No,No,
DnsQuery,2026-08-28T16:27:27.8560344Z,{0174764e-b643-6a91-a244-000000000e00},7644,C:\Windows\Sysmon64.exe,,,,,,,,,,,226.99.40.188.in-addr.arpa.,0,type: 12 customer-api-eu02.open-meteo.com;,No,Yes,Sysmon64.exe
NetworkConnect,2026-08-28T16:27:27.0014187Z,{0174764e-b6ed-6a91-6545-000000000e00},7592,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,tcp,192.168.68.106,58589,188.40.99.226,443,customer-api-eu02.open-meteo.com,true,,,,No,No,
NetworkConnect,2026-08-28T16:27:27.0014145Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,tcp,192.168.68.106,58590,23.216.149.217,443,a23-216-149-217.deploy.static.akamaitechnologies.com,true,,,,No,No,
NetworkConnect,2026-08-28T16:27:27.0014020Z,{0174764e-d647-6a83-2b00-000000000e00},2076,C:\Windows\System32\svchost.exe,,,,udp,192.168.68.106,59705,192.168.68.104,53,pi.hole,false,,,,Yes,Yes,svchost.exe
DnsQuery,2026-08-28T16:27:26.8437244Z,{0174764e-b643-6a91-a244-000000000e00},7644,C:\Windows\Sysmon64.exe,,,,,,,,,,,217.149.216.23.in-addr.arpa.,0,type: 12 a23-216-149-217.deploy.static.akamaitechnologies.com;,No,Yes,Sysmon64.exe
DnsQuery,2026-08-28T16:27:26.8436988Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,api.weather.gov,0,type: 5 sancert.weather.gov.edgekey.net;type: 5 e353369.dscg.akamaiedge.net;::ffff:23.216.149.217;::ffff:23.216.149.208;::ffff:23.216.149.212;::ffff:23.216.149.214;::ffff:23.216.149.213;::ffff:23.216.149.199;,No,No,
NetworkConnect,2026-08-28T16:27:26.2413006Z,{0174764e-d647-6a83-2b00-000000000e00},2076,C:\Windows\System32\svchost.exe,,,,udp,192.168.68.106,55789,192.168.68.104,53,pi.hole,true,,,,Yes,Yes,svchost.exe
NetworkConnect,2026-08-28T16:27:25.9899152Z,{0174764e-960b-6a91-4f43-000000000e00},15120,C:\Users\mmilne\.claude\remote\ccd-cli\2.1.246.exe,,,,tcp,192.168.68.106,58588,160.79.104.10,443,-,true,,,,Yes,Yes,2.1.246.exe
DnsQuery,2026-08-28T16:27:25.8318511Z,{0174764e-b6ed-6a91-6545-000000000e00},7592,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,api.open-meteo.com,0,::ffff:188.40.99.226;,No,No,
DnsQuery,2026-08-28T16:27:25.8318452Z,{0174764e-b6ed-6a91-6945-000000000e00},8820,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,mcp-agent-test.invalid,9003,-,No,No,
ProcessCreate,2026-08-28T16:27:25.0782184Z,{0174764e-b6ed-6a91-6a45-000000000e00},4940,C:\Windows\System32\conhost.exe,8820,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:25.0725131Z,{0174764e-b6ed-6a91-6945-000000000e00},8820,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,6412,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe"" -name agent-nxdomain -target https://mcp-agent-test.invalid/tool -duration 2m -interval 15s ",,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:25.0666487Z,{0174764e-b6ed-6a91-6845-000000000e00},7388,C:\Windows\System32\conhost.exe,13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:25.0619959Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,6412,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe"" -name agent-noaa -target https://api.weather.gov/points/47.6,-122.3 -duration 2m -interval 15s ",,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:25.0465891Z,{0174764e-b6ed-6a91-6645-000000000e00},10768,C:\Windows\System32\conhost.exe,7592,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,,,,,,,,,,,No,No,
ProcessCreate,2026-08-28T16:27:25.0401044Z,{0174764e-b6ed-6a91-6545-000000000e00},7592,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,6412,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe"" -name agent-openmeteo -target https://api.open-meteo.com/v1/forecast?latitude=47.6&longitude=-122.3&current_weather=true -duration 2m -interval 15s ",,,,,,,,,,,No,No,
